"Date","Country","Cases"
"2022-05-24","Germany","7"
"2022-05-25","Germany","22"
"2022-05-26","Germany","12"
"2022-05-27","Germany","9"
"2022-05-28","Germany","11"
"2022-05-29","Germany","12"
"2022-05-30","Germany","21"
"2022-05-31","Germany","11"
"2022-06-01","Germany","23"
"2022-06-02","Germany","31"
"2022-06-03","Germany","23"
"2022-06-04","Germany","30"
"2022-06-05","Germany","20"
"2022-06-06","Germany","47"
"2022-06-07","Germany","24"
"2022-06-08","Germany","47"
"2022-06-09","Germany","36"
"2022-06-10","Germany","44"
"2022-06-11","Germany","36"
"2022-06-12","Germany","46"
"2022-06-13","Germany","65"
"2022-06-14","Germany","49"
"2022-06-15","Germany","46"
"2022-06-16","Germany","36"
"2022-06-17","Germany","48"
"2022-06-18","Germany","42"
"2022-06-19","Germany","43"
"2022-06-20","Germany","69"
"2022-06-21","Germany","45"
"2022-06-22","Germany","51"
"2022-06-23","Germany","52"
"2022-06-24","Germany","58"
"2022-06-25","Germany","46"
"2022-06-26","Germany","43"
"2022-06-27","Germany","84"
"2022-06-28","Germany","40"
"2022-06-29","Germany","50"
"2022-06-30","Germany","51"
"2022-07-01","Germany","72"
"2022-07-02","Germany","51"
"2022-07-03","Germany","46"
"2022-07-04","Germany","93"
"2022-07-05","Germany","60"
"2022-07-06","Germany","61"
"2022-07-07","Germany","64"
"2022-07-08","Germany","71"
"2022-07-09","Germany","51"
"2022-07-10","Germany","55"
"2022-07-11","Germany","68"
"2022-07-12","Germany","62"
"2022-07-13","Germany","59"
"2022-07-14","Germany","48"
"2022-07-15","Germany","54"
"2022-07-16","Germany","36"
"2022-07-17","Germany","32"
"2022-07-18","Germany","64"
"2022-07-19","Germany","48"
"2022-07-20","Germany","49"
"2022-07-21","Germany","39"
"2022-07-22","Germany","34"
"2022-07-23","Germany","33"
"2022-07-24","Germany","22"
"2022-07-25","Germany","48"
"2022-07-26","Germany","38"
"2022-07-27","Germany","34"
"2022-07-28","Germany","30"
"2022-07-29","Germany","36"
"2022-07-30","Germany","26"
"2022-07-31","Germany","21"
"2022-08-01","Germany","48"
"2022-08-02","Germany","33"
"2022-08-03","Germany","26"
"2022-08-04","Germany","34"
"2022-08-05","Germany","19"
"2022-08-06","Germany","22"
"2022-08-07","Germany","12"
"2022-08-08","Germany","37"
"2022-08-09","Germany","21"
"2022-08-10","Germany","21"
"2022-08-11","Germany","14"
"2022-08-12","Germany","21"
"2022-08-13","Germany","15"
"2022-08-14","Germany","11"
"2022-08-15","Germany","25"
"2022-08-16","Germany","21"
"2022-08-17","Germany","17"
"2022-08-18","Germany","13"
"2022-08-19","Germany","13"
"2022-08-20","Germany","10"
"2022-08-21","Germany","8"
