"data","region","cases","cumulative"
2022-07-29,"Campania",2,6
2022-07-29,"Emilia-Romagna",6,55
2022-07-29,"Friuli-Venezia Giulia",0,9
2022-07-29,"Lazio",11,101
2022-07-29,"Liguria",0,8
2022-07-29,"Lombardia",19,216
2022-07-29,"Marche",0,2
2022-07-29,"Molise",0,0
2022-07-29,"Piemonte",8,18
2022-07-29,"Puglia",0,8
2022-07-29,"Sardegna",0,0
2022-07-29,"Sicilia",0,2
2022-07-29,"Toscana",4,16
2022-07-29,"PA Bolzano",0,1
2022-07-29,"PA Trento",0,3
2022-07-29,"Umbria",0,0
2022-07-29,"Valle d'Aosta",0,0
2022-07-29,"Veneto",2,33
2022-08-02,"Basilicata",0,0
2022-08-02,"Calabria",0,0
2022-08-02,"Campania",1,7
2022-08-02,"Emilia-Romagna",2,57
2022-08-02,"Friuli-Venezia Giulia",0,9
2022-08-02,"Lazio",3,104
2022-08-02,"Liguria",1,9
2022-08-02,"Lombardia",16,232
2022-08-02,"Marche",0,2
2022-08-02,"Molise",0,0
2022-08-02,"Piemonte",0,18
2022-08-02,"Puglia",1,9
2022-08-02,"Sardegna",1,1
2022-08-02,"Sicilia",0,2
2022-08-02,"Toscana",1,17
2022-08-02,"PA Bolzano",0,1
2022-08-02,"PA Trento",0,3
2022-08-02,"Umbria",0,0
2022-08-02,"Valle d'Aosta",0,0
2022-08-02,"Veneto",0,33
2022-08-05,"Abruzzo",1,1
2022-08-05,"Basilicata",0,0
2022-08-05,"Calabria",0,0
2022-08-05,"Campania",0,7
2022-08-05,"Emilia-Romagna",5,62
2022-08-05,"Friuli-Venezia Giulia",1,10
2022-08-05,"Lazio",5,109
2022-08-05,"Liguria",0,9
2022-08-05,"Lombardia",18,250
2022-08-05,"Marche",0,2
2022-08-05,"Molise",0,0
2022-08-05,"Piemonte",3,21
2022-08-05,"Puglia",0,9
2022-08-05,"Sardegna",0,1
2022-08-05,"Sicilia",0,2
2022-08-05,"Toscana",4,21
2022-08-05,"PA Bolzano",0,1
2022-08-05,"PA Trento",0,3
2022-08-05,"Umbria",0,0
2022-08-05,"Valle d'Aosta",0,0
2022-08-05,"Veneto",4,37
2022-08-09,"Abruzzo",1,2
2022-08-09,"Basilicata",0,0
2022-08-09,"Calabria",0,0
2022-08-09,"Campania",11,18
2022-08-09,"Emilia-Romagna",3,65
2022-08-09,"Friuli-Venezia Giulia",1,11
2022-08-09,"Lazio",5,114
2022-08-09,"Liguria",3,12
2022-08-09,"Lombardia",15,265
2022-08-09,"Marche",2,4
2022-08-09,"Molise",0,0
2022-08-09,"Piemonte",1,22
2022-08-09,"Puglia",3,12
2022-08-09,"Sardegna",0,1
2022-08-09,"Sicilia",0,2
2022-08-09,"Toscana",4,25
2022-08-09,"PA Bolzano",0,1
2022-08-09,"PA Trento",0,3
2022-08-09,"Umbria",0,0
2022-08-09,"Valle d'Aosta",0,0
2022-08-09,"Veneto",5,42
2022-08-12,"Abruzzo",0,2
2022-08-12,"Basilicata",0,0
2022-08-12,"Calabria",0,0
2022-08-12,"Campania",3,21
2022-08-12,"Emilia-Romagna",4,69
2022-08-12,"Friuli-Venezia Giulia",0,11
2022-08-12,"Lazio",4,118
2022-08-12,"Liguria",1,13
2022-08-12,"Lombardia",18,283
2022-08-12,"Marche",0,4
2022-08-12,"Molise",0,0
2022-08-12,"Piemonte",3,25
2022-08-12,"Puglia",1,13
2022-08-12,"Sardegna",2,3
2022-08-12,"Sicilia",2,4
2022-08-12,"Toscana",5,30
2022-08-12,"PA Bolzano",0,1
2022-08-12,"PA Trento",0,3
2022-08-12,"Umbria",0,0
2022-08-12,"Valle d'Aosta",0,0
2022-08-12,"Veneto",2,44
2022-08-16,"Abruzzo",0,2
2022-08-16,"Basilicata",0,0
2022-08-16,"Calabria",0,0
2022-08-16,"Campania",0,21
2022-08-16,"Emilia-Romagna",1,70
2022-08-16,"Friuli-Venezia Giulia",0,11
2022-08-16,"Lazio",3,121
2022-08-16,"Liguria",0,13
2022-08-16,"Lombardia",8,291
2022-08-16,"Marche",0,4
2022-08-16,"Molise",0,0
2022-08-16,"Piemonte",0,25
2022-08-16,"Puglia",1,14
2022-08-16,"Sardegna",1,4
2022-08-16,"Sicilia",1,5
2022-08-16,"Toscana",1,31
2022-08-16,"PA Bolzano",0,1
2022-08-16,"PA Trento",0,3
2022-08-16,"Umbria",0,0
2022-08-16,"Valle d'Aosta",0,0
2022-08-16,"Veneto",2,46
2022-08-19,"Abruzzo",0,2
2022-08-19,"Basilicata",0,0
2022-08-19,"Calabria",0,0
2022-08-19,"Campania",8,29
2022-08-19,"Emilia-Romagna",2,72
2022-08-19,"Friuli-Venezia Giulia",0,11
2022-08-19,"Lazio",4,125
2022-08-19,"Liguria",2,15
2022-08-19,"Lombardia",6,297
2022-08-19,"Marche",0,4
2022-08-19,"Molise",0,0
2022-08-19,"Piemonte",1,26
2022-08-19,"Puglia",0,14
2022-08-19,"Sardegna",0,4
2022-08-19,"Sicilia",0,5
2022-08-19,"Toscana",2,33
2022-08-19,"PA Bolzano",0,1
2022-08-19,"PA Trento",0,3
2022-08-19,"Umbria",0,0
2022-08-19,"Valle d'Aosta",0,0
2022-08-19,"Veneto",2,48
2022-08-23,"Abruzzo",0,2
2022-08-23,"Basilicata",0,0
2022-08-23,"Calabria",0,0
2022-08-23,"Campania",2,31
2022-08-23,"Emilia-Romagna",1,73
2022-08-23,"Friuli-Venezia Giulia",0,11
2022-08-23,"Lazio",3,128
2022-08-23,"Liguria",1,16
2022-08-23,"Lombardia",11,308
2022-08-23,"Marche",1,5
2022-08-23,"Molise",0,0
2022-08-23,"Piemonte",0,26
2022-08-23,"Puglia",2,16
2022-08-23,"Sardegna",0,4
2022-08-23,"Sicilia",0,5
2022-08-23,"Toscana",3,36
2022-08-23,"PA Bolzano",0,1
2022-08-23,"PA Trento",1,4
2022-08-23,"Umbria",0,0
2022-08-23,"Valle d'Aosta",0,0
2022-08-23,"Veneto",0,48
2022-08-26,"Abruzzo",0,2
2022-08-26,"Basilicata",0,0
2022-08-26,"Calabria",0,0
2022-08-26,"Campania",1,32
2022-08-26,"Emilia-Romagna",2,75
2022-08-26,"Friuli-Venezia Giulia",0,11
2022-08-26,"Lazio",8,136
2022-08-26,"Liguria",0,16
2022-08-26,"Lombardia",10,318
2022-08-26,"Marche",0,5
2022-08-26,"Molise",0,0
2022-08-26,"Piemonte",0,26
2022-08-26,"Puglia",1,17
2022-08-26,"Sardegna",0,4
2022-08-26,"Sicilia",1,6
2022-08-26,"Toscana",2,38
2022-08-26,"PA Bolzano",0,1
2022-08-26,"PA Trento",0,4
2022-08-26,"Umbria",0,0
2022-08-26,"Valle d'Aosta",0,0
2022-08-26,"Veneto",1,49
2022-08-30,"Abruzzo",0,2
2022-08-30,"Basilicata",0,0
2022-08-30,"Calabria",0,0
2022-08-30,"Campania",5,37
2022-08-30,"Emilia-Romagna",0,75
2022-08-30,"Friuli-Venezia Giulia",1,12
2022-08-30,"Lazio",2,138
2022-08-30,"Liguria",0,16
2022-08-30,"Lombardia",4,322
2022-08-30,"Marche",1,6
2022-08-30,"Molise",0,0
2022-08-30,"Piemonte",1,27
2022-08-30,"Puglia",0,17
2022-08-30,"Sardegna",1,5
2022-08-30,"Sicilia",1,7
2022-08-30,"Toscana",0,38
2022-08-30,"PA Bolzano",0,1
2022-08-30,"PA Trento",0,4
2022-08-30,"Umbria",0,0
2022-08-30,"Valle d'Aosta",0,0
2022-08-30,"Veneto",4,53
2022-09-02,"Abruzzo",1,3
2022-09-02,"Basilicata",0,0
2022-09-02,"Calabria",0,0
2022-09-02,"Campania",1,38
2022-09-02,"Emilia-Romagna",2,77
2022-09-02,"Friuli-Venezia Giulia",1,13
2022-09-02,"Lazio",1,139
2022-09-02,"Liguria",0,16
2022-09-02,"Lombardia",4,326
2022-09-02,"Marche",0,6
2022-09-02,"Molise",0,0
2022-09-02,"Piemonte",0,27
2022-09-02,"Puglia",0,17
2022-09-02,"Sardegna",0,5
2022-09-02,"Sicilia",0,7
2022-09-02,"Toscana",1,39
2022-09-02,"PA Bolzano",0,1
2022-09-02,"PA Trento",0,4
2022-09-02,"Umbria",0,0
2022-09-02,"Valle d'Aosta",0,0
2022-09-02,"Veneto",2,55
2022-09-06,"Abruzzo",0,3
2022-09-06,"Basilicata",0,0
2022-09-06,"Calabria",0,0
2022-09-06,"Campania",0,38
2022-09-06,"Emilia-Romagna",2,79
2022-09-06,"Friuli-Venezia Giulia",1,14
2022-09-06,"Lazio",1,140
2022-09-06,"Liguria",2,18
2022-09-06,"Lombardia",4,330
2022-09-06,"Marche",1,7
2022-09-06,"Molise",0,0
2022-09-06,"Piemonte",0,27
2022-09-06,"Puglia",1,18
2022-09-06,"Sardegna",0,5
2022-09-06,"Sicilia",1,8
2022-09-06,"Toscana",1,40
2022-09-06,"PA Bolzano",0,1
2022-09-06,"PA Trento",0,4
2022-09-06,"Umbria",0,0
2022-09-06,"Valle d'Aosta",0,0
2022-09-06,"Veneto",0,55
2022-09-09,"Abruzzo",0,3
2022-09-09,"Basilicata",0,0
2022-09-09,"Calabria",0,0
2022-09-09,"Campania",2,40
2022-09-09,"Emilia-Romagna",1,80
2022-09-09,"Friuli-Venezia Giulia",0,14
2022-09-09,"Lazio",1,141
2022-09-09,"Liguria",0,18
2022-09-09,"Lombardia",3,333
2022-09-09,"Marche",0,7
2022-09-09,"Molise",0,0
2022-09-09,"Piemonte",4,31
2022-09-09,"Puglia",1,19
2022-09-09,"Sardegna",0,5
2022-09-09,"Sicilia",1,9
2022-09-09,"Toscana",3,43
2022-09-09,"PA Bolzano",0,1
2022-09-09,"PA Trento",0,4
2022-09-09,"Umbria",0,0
2022-09-09,"Valle d'Aosta",0,0
2022-09-09,"Veneto",2,57
2022-09-13,"Abruzzo",1,4
2022-09-13,"Basilicata",0,0
2022-09-13,"Calabria",0,0
2022-09-13,"Campania",0,40
2022-09-13,"Emilia-Romagna",0,80
2022-09-13,"Friuli-Venezia Giulia",0,14
2022-09-13,"Lazio",0,141
2022-09-13,"Liguria",0,18
2022-09-13,"Lombardia",4,337
2022-09-13,"Marche",0,7
2022-09-13,"Molise",0,0
2022-09-13,"Piemonte",0,31
2022-09-13,"Puglia",1,20
2022-09-13,"Sardegna",0,5
2022-09-13,"Sicilia",0,9
2022-09-13,"Toscana",1,44
2022-09-13,"PA Bolzano",0,1
2022-09-13,"PA Trento",0,4
2022-09-13,"Umbria",0,0
2022-09-13,"Valle d'Aosta",0,0
2022-09-13,"Veneto",1,58
2022-09-16,"Abruzzo",0,4
2022-09-16,"Basilicata",0,0
2022-09-16,"Calabria",0,0
2022-09-16,"Campania",0,40
2022-09-16,"Emilia-Romagna",3,83
2022-09-16,"Friuli-Venezia Giulia",0,14
2022-09-16,"Lazio",2,143
2022-09-16,"Liguria",0,18
